startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,mcPeriGap,targBv,targSz,targXoff1,targXoff2,targYoff,targTtot,targTon,fixCross,trialT,nRevs,targEyeR,mono
-2,256,0.1,3.2,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10,0,0
0,256,0.1,3.2,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10,0,0
-2,256,0.1,3.2,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10,1,0
0,256,0.1,3.2,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10,1,0
